sample_id,file_name,document_id,sheet_raw,source_corpus,acquisition_session_id,dpi,class_label,scanner_brand,scanner_model,physical_device_id,device_uid,image_format,color_mode,tampered_label,is_tampered,width,height,aspect_ratio,file_size_kb,mean_intensity,std_intensity,skewness,kurtosis,entropy,edge_density
SMP_0001,s1_1.tif,DOC_001,1,Official,Official_150DPI,150,Canon120-1,Canon,CanoScan LiDE 120,Unit_1,Canon_CanoScanLiDE120_Unit_1,TIFF,Grayscale_512x512,untampered,0,512,512,1.0,6366.8017578125,0.9722131537962252,0.1041708336817195,-4.147706260402328,16.985540297767763,0.879779559825141,0.1282081604003906
SMP_0002,s1_10.tif,DOC_010,10,Official,Official_150DPI,150,Canon120-1,Canon,CanoScan LiDE 120,Unit_1,Canon_CanoScanLiDE120_Unit_1,TIFF,Grayscale_512x512,untampered,0,512,512,1.0,6366.8017578125,0.9699168430760736,0.1091896766361315,-4.046214142804494,16.014229535058345,0.8832269643069095,0.097930908203125
SMP_0003,s1_100.tif,DOC_100,100,Official,Official_150DPI,150,Canon120-1,Canon,CanoScan LiDE 120,Unit_1,Canon_CanoScanLiDE120_Unit_1,TIFF,Grayscale_512x512,untampered,0,512,512,1.0,6366.8017578125,0.9853087454554188,0.0756908160764401,-6.530848076685547,48.38060160959769,0.5667589801969285,0.0694808959960937
SMP_0004,s1_11.tif,DOC_011,11,Official,Official_150DPI,150,Canon120-1,Canon,CanoScan LiDE 120,Unit_1,Canon_CanoScanLiDE120_Unit_1,TIFF,Grayscale_512x512,untampered,0,512,512,1.0,6366.8017578125,0.9738808519506466,0.0877135458455314,-4.209022068231882,19.795997086761883,1.0447801726550532,0.13433837890625
SMP_0005,s1_12.tif,DOC_012,12,Official,Official_150DPI,150,Canon120-1,Canon,CanoScan LiDE 120,Unit_1,Canon_CanoScanLiDE120_Unit_1,TIFF,Grayscale_512x512,untampered,0,512,512,1.0,6366.8017578125,0.9886056846142808,0.0598949022473088,-6.94902895453524,56.013158571011616,0.6937222823203418,0.0601387023925781
SMP_0006,s1_13.tif,DOC_013,13,Official,Official_150DPI,150,Canon120-1,Canon,CanoScan LiDE 120,Unit_1,Canon_CanoScanLiDE120_Unit_1,TIFF,Grayscale_512x512,untampered,0,512,512,1.0,6366.8017578125,0.980217873003863,0.0773581030664099,-4.790763931886134,25.91477141744474,0.7819666257603984,0.109832763671875
SMP_0007,s1_14.tif,DOC_014,14,Official,Official_150DPI,150,Canon120-1,Canon,CanoScan LiDE 120,Unit_1,Canon_CanoScanLiDE120_Unit_1,TIFF,Grayscale_512x512,untampered,0,512,512,1.0,6366.8017578125,0.9792528258419626,0.0806416791809073,-4.562546210524548,22.010932573651232,0.8113889745795272,0.116241455078125
SMP_0008,s1_15.tif,DOC_015,15,Official,Official_150DPI,150,Canon120-1,Canon,CanoScan LiDE 120,Unit_1,Canon_CanoScanLiDE120_Unit_1,TIFF,Grayscale_512x512,untampered,0,512,512,1.0,6366.8017578125,0.9778082719392744,0.0768880747343007,-4.214462146272853,18.679895905485047,1.058874087223979,0.1072616577148437
SMP_0009,s1_16.tif,DOC_016,16,Official,Official_150DPI,150,Canon120-1,Canon,CanoScan LiDE 120,Unit_1,Canon_CanoScanLiDE120_Unit_1,TIFF,Grayscale_512x512,untampered,0,512,512,1.0,6366.8017578125,0.9825543710602694,0.0658201405755235,-5.113959739900478,32.28672067339373,0.9053457060575556,0.1061553955078125
SMP_0010,s1_17.tif,DOC_017,17,Official,Official_150DPI,150,Canon120-1,Canon,CanoScan LiDE 120,Unit_1,Canon_CanoScanLiDE120_Unit_1,TIFF,Grayscale_512x512,untampered,0,512,512,1.0,6366.8017578125,0.9930268710097138,0.047979002920977,-8.597293540714771,83.21872102909387,0.3306658453712578,0.0375175476074218
SMP_0011,s1_18.tif,DOC_018,18,Official,Official_150DPI,150,Canon120-1,Canon,CanoScan LiDE 120,Unit_1,Canon_CanoScanLiDE120_Unit_1,TIFF,Grayscale_512x512,untampered,0,512,512,1.0,6366.8017578125,0.983057645124932,0.0770404972385665,-5.446074817215916,32.63552442001025,0.6248262420261609,0.0832977294921875
SMP_0012,s1_19.tif,DOC_019,19,Official,Official_150DPI,150,Canon120-1,Canon,CanoScan LiDE 120,Unit_1,Canon_CanoScanLiDE120_Unit_1,TIFF,Grayscale_512x512,untampered,0,512,512,1.0,6366.8017578125,0.971157273092222,0.0961240361715814,-4.117720587442513,17.967127163008936,1.1490034364344892,0.1537094116210937
SMP_0013,s1_2.tif,DOC_002,2,Official,Official_150DPI,150,Canon120-1,Canon,CanoScan LiDE 120,Unit_1,Canon_CanoScanLiDE120_Unit_1,TIFF,Grayscale_512x512,untampered,0,512,512,1.0,6366.8017578125,0.9589256992649776,0.0985562459791031,-2.831427394781376,8.287845678521293,1.6160508850310735,0.2016677856445312
SMP_0014,s1_20.tif,DOC_020,20,Official,Official_150DPI,150,Canon120-1,Canon,CanoScan LiDE 120,Unit_1,Canon_CanoScanLiDE120_Unit_1,TIFF,Grayscale_512x512,untampered,0,512,512,1.0,6366.8017578125,0.9712619695630168,0.0946326496888116,-4.050500110182252,17.453293048584246,1.1367910095351568,0.1566047668457031
SMP_0015,s1_21.tif,DOC_021,21,Official,Official_150DPI,150,Canon120-1,Canon,CanoScan LiDE 120,Unit_1,Canon_CanoScanLiDE120_Unit_1,TIFF,Grayscale_512x512,untampered,0,512,512,1.0,6366.8017578125,0.992086956123672,0.0484169900556993,-7.766186301715576,68.6331133490505,0.4146069403969855,0.0534324645996093
SMP_0016,s1_22.tif,DOC_022,22,Official,Official_150DPI,150,Canon120-1,Canon,CanoScan LiDE 120,Unit_1,Canon_CanoScanLiDE120_Unit_1,TIFF,Grayscale_512x512,untampered,0,512,512,1.0,6366.8017578125,0.9936632213905648,0.0460198803478947,-9.545255405326524,105.36517442704933,0.3029179298705105,0.0355072021484375
SMP_0017,s1_23.tif,DOC_023,23,Official,Official_150DPI,150,Canon120-1,Canon,CanoScan LiDE 120,Unit_1,Canon_CanoScanLiDE120_Unit_1,TIFF,Grayscale_512x512,untampered,0,512,512,1.0,6366.8017578125,0.9862759868519546,0.0611832061055565,-5.732387158380497,36.10370387698121,0.7476181603944654,0.0680084228515625
SMP_0018,s1_24.tif,DOC_024,24,Official,Official_150DPI,150,Canon120-1,Canon,CanoScan LiDE 120,Unit_1,Canon_CanoScanLiDE120_Unit_1,TIFF,Grayscale_512x512,untampered,0,512,512,1.0,6366.8017578125,0.9888258425418032,0.0513738802915296,-5.530448096026435,33.90825130872368,0.5854994980188374,0.0631675720214843
SMP_0019,s1_25.tif,DOC_025,25,Official,Official_150DPI,150,Canon120-1,Canon,CanoScan LiDE 120,Unit_1,Canon_CanoScanLiDE120_Unit_1,TIFF,Grayscale_512x512,untampered,0,512,512,1.0,6366.8017578125,0.9771379167112816,0.0998128967423244,-5.5025947335093095,32.61112814513641,0.7762506666305609,0.1044387817382812
SMP_0020,s1_26.tif,DOC_026,26,Official,Official_150DPI,150,Canon120-1,Canon,CanoScan LiDE 120,Unit_1,Canon_CanoScanLiDE120_Unit_1,TIFF,Grayscale_512x512,untampered,0,512,512,1.0,6366.8017578125,0.9848107150436256,0.0747632445649149,-6.0155338931300015,40.108241268787815,0.5764052672264685,0.0749549865722656
SMP_0021,s1_27.tif,DOC_027,27,Official,Official_150DPI,150,Canon120-1,Canon,CanoScan LiDE 120,Unit_1,Canon_CanoScanLiDE120_Unit_1,TIFF,Grayscale_512x512,untampered,0,512,512,1.0,6366.8017578125,0.9639105307555328,0.1200525811230933,-4.008046635660489,16.891864985779463,1.0973765573243803,0.14508056640625
SMP_0022,s1_28.tif,DOC_028,28,Official,Official_150DPI,150,Canon120-1,Canon,CanoScan LiDE 120,Unit_1,Canon_CanoScanLiDE120_Unit_1,TIFF,Grayscale_512x512,untampered,0,512,512,1.0,6366.8017578125,0.9894982171828098,0.063395045394463,-7.596158368895635,63.708887788797696,0.4410023360717833,0.0478401184082031
SMP_0023,s1_29.tif,DOC_029,29,Official,Official_150DPI,150,Canon120-1,Canon,CanoScan LiDE 120,Unit_1,Canon_CanoScanLiDE120_Unit_1,TIFF,Grayscale_512x512,untampered,0,512,512,1.0,6366.8017578125,0.9932388530405456,0.0440083829116535,-8.645893333583821,86.56972730985314,0.398295141741977,0.030792236328125
SMP_0024,s1_3.tif,DOC_003,3,Official,Official_150DPI,150,Canon120-1,Canon,CanoScan LiDE 120,Unit_1,Canon_CanoScanLiDE120_Unit_1,TIFF,Grayscale_512x512,untampered,0,512,512,1.0,6366.8017578125,0.9787384362266056,0.0846582019651821,-5.088680327526426,29.288395936222017,0.8342986731396841,0.1151695251464843
SMP_0025,s1_30.tif,DOC_030,30,Official,Official_150DPI,150,Canon120-1,Canon,CanoScan LiDE 120,Unit_1,Canon_CanoScanLiDE120_Unit_1,TIFF,Grayscale_512x512,untampered,0,512,512,1.0,6366.8017578125,0.9813749726758394,0.0746989878857087,-4.355064580649305,18.145437102169883,0.7278665880119227,0.0588874816894531
SMP_0026,s1_31.tif,DOC_031,31,Official,Official_150DPI,150,Canon120-1,Canon,CanoScan LiDE 120,Unit_1,Canon_CanoScanLiDE120_Unit_1,TIFF,Grayscale_512x512,untampered,0,512,512,1.0,6366.8017578125,0.9591764026507692,0.1067130521511646,-3.2162179968796885,12.042587402306694,1.4194698193908508,0.1935310363769531
